family,description,task_count,top_tasks,top10_expected_lb,avg_family_reuse_top10,avg_graphizability_top10,avg_hidden_risk_top10,pseudo_hidden_status,recommended_gate
symmetry/flip/rotate,Shape-preserving symmetry and geometric completion tasks; high reuse if a robust transform matcher lands.,105,"task285,task191,task101,task018,task158,task076,task286,task243,task054,task066",8.547005,1.000000,0.718000,0.571000,clean=1;mixed=1,Prioritize invariant stress suites and reusable D4/placement compiler pieces.
reduce,Output-smaller crop/extract/object selection tasks; strong value for reusable component and bbox primitives.,67,"task366,task233,task096,task396,task264,task209,task205,task153,task159,task088",7.711966,0.989364,0.526000,0.534000,clean=1;mixed=0,Invest in bbox/component selection primitives; require pseudo-hidden before swaps.
other,Mixed hard tasks needing semantic factory passes before compiler work.,80,"task255,task204,task219,task367,task077,task118,task251,task387,task145,task303",4.781750,0.962319,0.420000,0.590000,clean=0;mixed=1,Use dossier next_allowed_action per task.
color_remap,Palette and recoloring tasks; best attacked by color-invariant pseudo-hidden audits plus compact maps.,37,"task025,task071,task110,task034,task175,task281,task313,task161,task206,task011",2.733389,0.865022,0.726000,0.555000,clean=0;mixed=0,Use color-bijection stress tests before trusting public or local-only gains.
color_fill,Fill/paint tasks; useful for mask/flood-fill primitive reuse.,29,"task023,task187,task198,task374,task392,task062,task364,task338,task010,task052",1.750684,0.809332,0.440000,0.521000,clean=0;mixed=0,Develop mask/flood-fill contracts before graph staging.
crop,Crop/localization tasks; graphizable when bbox detection is reliable.,22,"task216,task036,task300,task014,task029,task091,task065,task021,task365,task049",1.584962,0.752357,0.580000,0.563000,clean=0;mixed=0,Validate bbox detection under translations and distractors.
tiling,Tile/repeat patterns; usually DSL/compiler-search friendly.,30,"task398,task019,task107,task221,task231,task289,task001,task123,task269,task295",0.827517,0.736364,0.680000,0.500000,clean=0;mixed=0,Use dossier next_allowed_action per task.
expand,Output-larger expansion/tiling variants.,6,"task376,task275,task239,task003,task114,task124",0.408570,0.417269,0.500000,0.543333,clean=0;mixed=0,Use dossier next_allowed_action per task.
trim_border,Border removal/trim operations.,6,"task109,task046,task395,task334,task347,task189",0.285892,0.417269,0.620000,0.513333,clean=0;mixed=0,Use dossier next_allowed_action per task.
covered_or_unclassified,,11,"task179,task241,task276,task309,task337,task150,task155,task087,task140,task380",0.000000,0.532849,0.380000,0.547000,clean=0;mixed=0,Use dossier next_allowed_action per task.
scalar_output,Scalar/metadata outputs; prone to overfit unless semantics are explicit.,6,"task291,task056,task103,task355,task048,task346",0.000000,0.417269,0.400000,0.585000,clean=0;mixed=0,Use dossier next_allowed_action per task.
other_shape_change,,1,task399,0.000000,0.148634,0.380000,0.550000,clean=0;mixed=0,Use dossier next_allowed_action per task.
