primitive,category,search_hits,task_count,full_onnx_pass_hits,train_only_or_runtime_mismatch_hits,v4_swap_candidate_hits,v10_cheaper_hits,v10_equal_hits,v10_loser_hits,median_v10_over_dsl_cost,best_v10_over_dsl_cost,tasks,full_pass_tasks,top50_overlap,next25_50_overlap,recommendation,note,examples
hollow_out,needs_object_ir,1,1,0,1,0,0,0,0,,,task171,,,,Promote to object/mask IR; depth search over current FLOAT builders is a local maximum.,Do not brute-force as full FLOAT grid; build bounded object/mask IR first.,"task171: swap_colors(c1=0,c2=8) | hollow_out(target_color=8)"
shift_down,needs_typed_rewrite,2,2,0,2,0,0,0,0,,,task053 task261,,,,Rebuild as typed bbox/index primitive with BOOL masks and no full-grid mask multiply.,Rewrite as BOOL/mask/small-shape typed primitive before broad search.,"task053: shift_down(k=1) || task261: swap_colors(c1=2,c2=8) | shift_down(k=1)"
dominant_color,needs_typed_rewrite,1,1,1,0,0,0,0,1,0.099,0.099,task129,task129,,,Split into BOOL mask plus paint/cover primitives; avoid materializing full FLOAT one-hot until final output.,Rewrite as BOOL/mask/small-shape typed primitive before broad search.,task129: dominant_color
tile_h,needs_typed_rewrite,1,1,1,0,0,0,0,1,0.214,0.214,task249,task249,,,Rebuild as typed bbox/index primitive with BOOL masks and no full-grid mask multiply.,Rewrite as BOOL/mask/small-shape typed primitive before broad search.,task249: tile_h(n=2)
crop,partly_mature,3,3,1,2,0,0,0,1,0.87,0.87,task048 task326 task346,task326,,,"Keep, but compare against v10 before staging; only tiny crops are near competitive.","Task-specialized versions work, but current anchor often has tighter hand graphs.","task048: replace_color(dst=8,src=2) | crop(c0=2,h=1,r0=2,w=1) || task326: crop(c0=0,h=2,r0=0,w=2) || task346: replace_color(dst=8,src=0) | crop(c0=0,h=1,r0=0,w=1)"
rotate180_static,partly_mature,2,2,2,0,0,0,0,2,0.332,0.332,task087 task140,task087 task140,,,Add lower-level static Slice/Pad templates per task; current generic version still loses to v10 rotate handbuilds.,"Task-specialized versions work, but current anchor often has tighter hand graphs.","task087: rotate180_static(h=3,w=3) || task140: rotate180_static(h=3,w=3)"
flip_h,partly_mature,1,1,1,0,1,0,0,1,0.878,0.878,task150,task150,,,"Already integrated through v4_plus5; use as sanity template, not a new score lane.","Task-specialized versions work, but current anchor often has tighter hand graphs.",task150: flip_h
flip_v,partly_mature,1,1,1,0,1,0,0,1,0.878,0.878,task155,task155,,,"Already integrated through v4_plus5; use as sanity template, not a new score lane.","Task-specialized versions work, but current anchor often has tighter hand graphs.",task155: flip_v
rotate90_static,partly_mature,1,1,1,0,0,0,0,1,0.658,0.658,task380,task380,,,Add lower-level static Slice/Pad templates per task; current generic version still loses to v10 rotate handbuilds.,"Task-specialized versions work, but current anchor often has tighter hand graphs.","task380: rotate90_static(h=3,w=3)"
swap_colors,mature_cheap,5,5,3,2,3,0,3,0,1.0,1.0,task171 task261 task276 task309 task337,task276 task309 task337,,,Keep in depth-1/depth-2 search; no engineering needed unless a new exact hit beats v10.,Keep as trusted DSL leaf; mostly already saturated in v10.,"task171: swap_colors(c1=0,c2=8) | hollow_out(target_color=8) || task261: swap_colors(c1=2,c2=8) | shift_down(k=1) || task276: swap_colors(c1=2,c2=6)"
replace_color,mature_cheap,2,2,0,2,0,0,0,0,,,task048 task346,,,,Keep in depth-1/depth-2 search; no engineering needed unless a new exact hit beats v10.,Keep as trusted DSL leaf; mostly already saturated in v10.,"task048: replace_color(dst=8,src=2) | crop(c0=2,h=1,r0=2,w=1) || task346: replace_color(dst=8,src=0) | crop(c0=0,h=1,r0=0,w=1)"
transpose,mature_cheap,2,2,2,0,2,0,2,0,1.0,1.0,task179 task241,task179 task241,,,Keep in depth-1/depth-2 search; no engineering needed unless a new exact hit beats v10.,Keep as trusted DSL leaf; mostly already saturated in v10.,task179: transpose || task241: transpose
