rank,task_id,parent_priority_rank,direction,family_primary,anchor_score,anchor_cost,cost_rank,dossier_priority_score,best_seen_delta,gross_upside_lb,expected_lb,success_probability,hidden_risk,graphizability,family_reuse,pseudo_hidden_status,source_risk,rationale,next_gate
25,task085,0,audit_before_swap,symmetry/flip/rotate,13.363283,113178.000000,29,58.000000,0.000000,1.455766,0.352004,0.241800,0.550000,0.660000,1.000000,not_run,lb-verified-v4-anchor,cost rank 29 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
26,task071,0,audit_before_swap,color_remap,13.226404,129780.000000,20,58.000000,0.000000,1.537893,0.368481,0.239601,0.550000,0.720000,0.860022,not_run,lb-verified-v4-anchor,cost rank 20 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
27,task219,0,defer,other,13.681837,82303.000000,61,32.000000,0.536336,1.136336,0.426599,0.375416,0.620000,0.600000,0.992319,not_run,lb-verified-current-anchor,best-seen +0.54 | prototype | builder | Avoid visible-family lookup staging; generalize the closed Python rule against pseudo-hidden shape families.,Avoid visible-family lookup staging; generalize the closed Python rule against pseudo-hidden shape families.
28,task367,0,semantic_rebuild,other,13.125192,143603.000000,16,49.000000,0.958775,1.558775,0.498365,0.319716,0.520000,0.360000,0.942319,not_run,lb-verified-v4-anchor,"cost rank 16 | best-seen +0.96 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
29,task363,0,pseudo_hidden_first,symmetry/flip/rotate,13.625050,87112.000000,55,12.000000,0.473758,1.073758,0.388486,0.361800,0.620000,0.800000,1.000000,not_run,lb-verified-v4-anchor,best-seen +0.47 | prototype | builder | graph risk 2 | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
30,task382,0,family_dsl,symmetry/flip/rotate,13.416113,107354.000000,33,8.000000,0.000000,1.424068,0.379657,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
31,task370,0,family_dsl,symmetry/flip/rotate,13.417493,107206.000000,34,8.000000,0.000000,1.423240,0.379436,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
32,task396,0,semantic_rebuild,reduce,13.211809,131688.000000,19,48.000000,0.000000,1.546650,0.435908,0.281840,0.580000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 19 | compiler +0.07 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
33,task264,0,semantic_rebuild,reduce,13.155213,139356.000000,18,49.000000,0.560822,1.160822,0.384743,0.331440,0.520000,0.480000,0.984806,not_run,lb-verified-current-anchor,"cost rank 18 | best-seen +0.56 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
34,task284,0,family_dsl,symmetry/flip/rotate,13.475808,101133.000000,40,8.000000,0.000000,1.388251,0.370108,0.266600,0.520000,0.660000,1.000000,not_run,lb-verified-current-anchor,Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
