solver,split,exact,total,pixel_errors
semantic_majority_reflect,train,3,3,0
semantic_majority_reflect,test,1,1,0
semantic_majority_reflect,arc-gen,261,261,0
semantic_majority_reflect,all,265,265,0
weaker_same_color_any_marker,train,3,3,0
weaker_same_color_any_marker,test,1,1,0
weaker_same_color_any_marker,arc-gen,239,261,147
weaker_same_color_any_marker,all,243,265,147
weaker_same_color_singleton_marker,train,3,3,0
weaker_same_color_singleton_marker,test,1,1,0
weaker_same_color_singleton_marker,arc-gen,253,261,27
weaker_same_color_singleton_marker,all,257,265,27
weaker_majority_no_diagonal,train,0,3,31
weaker_majority_no_diagonal,test,0,1,10
weaker_majority_no_diagonal,arc-gen,9,261,2213
weaker_majority_no_diagonal,all,9,265,2254
weaker_majority_paints_body_color,train,0,3,81
weaker_majority_paints_body_color,test,0,1,38
weaker_majority_paints_body_color,arc-gen,0,261,6672
weaker_majority_paints_body_color,all,0,265,6791
