rank,task_id,parent_priority_rank,direction,family_primary,anchor_score,anchor_cost,cost_rank,dossier_priority_score,best_seen_delta,gross_upside_lb,expected_lb,success_probability,hidden_risk,graphizability,family_reuse,pseudo_hidden_status,source_risk,rationale,next_gate
1,task018,1,pseudo_hidden_first,symmetry/flip/rotate,11.926438,476185.000000,5,158.000000,13.073562,3.520000,0.583616,0.165800,0.980000,0.820000,1.000000,not_run,public-anchor-candidate,parent-priority | public gap +3.52 | cost rank 5 | best-seen +13.07 | builder | Do not cost-only replace; run scorer-decoder or semantic audit before any probe.,Do not cost-only replace; run scorer-decoder or semantic audit before any probe.
2,task285,2,compact_compiler,symmetry/flip/rotate,12.112175,395468.000000,6,147.000000,0.823339,3.620000,2.728756,0.753800,0.240000,0.860000,1.000000,stress_clean,lb-verified-current-anchor,"parent-priority | public gap +3.02 | cost rank 6 | stress clean | best-seen +0.82 | prototype | Compile a compact ONNX builder, then cost-audit against the anchor.","Compile a compact ONNX builder, then cost-audit against the anchor."
3,task255,3,semantic_rebuild,other,10.718956,1592864.000000,1,147.000000,2.386919,5.070604,1.678451,0.331016,0.860000,0.400000,0.992319,stress_mixed,lb-verified-current-anchor,parent-priority | public gap +4.57 | cost rank 1 | stress mixed | best-seen +2.39 | prototype | Retire brittle variants; rebuild semantic rectangle/gutter rule and demand clean pseudo-hidden before ONNX.,Retire brittle variants; rebuild semantic rectangle/gutter rule and demand clean pseudo-hidden before ONNX.
4,task133,4,semantic_rebuild,symmetry/flip/rotate,12.810667,196680.000000,9,135.000000,0.014117,1.787336,0.553857,0.309878,0.864510,0.640000,1.000000,stress_mixed,lb-verified-v4-anchor,parent-priority | public big-gap set | cost rank 9 | stress mixed | prototype | graph risk 2 | Revise semantic prototype; do not stage until pseudo-hidden is clean.,Revise semantic prototype; do not stage until pseudo-hidden is clean.
5,task366,5,compact_compiler,reduce,11.369952,830720.000000,3,135.000000,0.000000,4.370000,3.245162,0.742600,0.200000,0.720000,1.000000,stress_clean,lb-verified-v4-anchor,parent-priority | public gap +3.77 | cost rank 3 | stress clean | prototype | builder | Cost-audit builder and verify full visible plus stress suite before staging.,Cost-audit builder and verify full visible plus stress suite before staging.
6,task233,6,pseudo_hidden_first,reduce,10.812401,1450762.000000,2,132.000000,2.955155,4.580000,1.633228,0.356600,0.730000,0.580000,1.000000,not_run,lb-verified-current-anchor,parent-priority | public gap +3.98 | cost rank 2 | best-seen +2.96 | prototype | builder | graph risk 3 | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
7,task025,7,audit_before_swap,color_remap,13.149938,140093.000000,17,94.000000,0.450462,1.050462,0.341716,0.325301,0.590000,0.840000,0.910022,not_run,lb-verified-v4-anchor,parent-priority | public bottom15 | cost rank 17 | best-seen +0.45 | builder | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
8,task173,8,audit_before_swap,symmetry/flip/rotate,12.926071,175243.000000,12,89.000000,0.000000,1.718093,0.393443,0.229000,0.630000,0.660000,1.000000,not_run,public-anchor-candidate,parent-priority | public bottom15 | cost rank 12 | Require semantic proof and pseudo-hidden audit; no raw public-source swap.,Require semantic proof and pseudo-hidden audit; no raw public-source swap.
9,task243,9,pseudo_hidden_first,symmetry/flip/rotate,13.401200,108967.000000,31,83.000000,0.473333,1.073333,0.382321,0.356200,0.520000,0.780000,1.000000,not_run,lb-verified-v4-anchor,parent-priority | public big-gap set | best-seen +0.47 | builder | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
10,task158,10,semantic_rebuild,symmetry/flip/rotate,12.838381,191304.000000,10,80.000000,0.045591,1.770707,0.542899,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,"parent-priority | public bottom15 | cost rank 10 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
11,task054,11,semantic_rebuild,symmetry/flip/rotate,13.077963,150548.000000,15,79.000000,0.000000,1.626958,0.498825,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,"parent-priority | public bottom15 | cost rank 15 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
12,task286,12,semantic_rebuild,symmetry/flip/rotate,13.011269,160931.000000,13,79.000000,0.000000,1.666974,0.511094,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,"parent-priority | public bottom15 | cost rank 13 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
13,task096,13,semantic_rebuild,reduce,12.873891,184630.000000,11,65.000000,1.838448,2.438448,0.745776,0.305840,0.680000,0.480000,0.984806,not_run,lb-verified-current-anchor,"parent-priority | cost rank 11 | best-seen +1.84 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
14,task191,0,pseudo_hidden_first,symmetry/flip/rotate,11.553610,691342.000000,4,59.000000,2.085230,2.685230,0.992998,0.369800,0.580000,0.820000,1.000000,not_run,lb-verified-current-anchor,cost rank 4 | best-seen +2.09 | prototype | builder | compiler +0.03 | Run or extend pseudo-hidden audit before using the builder.,Run or extend pseudo-hidden audit before using the builder.
15,task101,0,semantic_rebuild,symmetry/flip/rotate,12.166837,374431.000000,7,52.000000,1.737588,2.337588,0.787767,0.337000,0.580000,0.660000,1.000000,not_run,lb-verified-v4-anchor,"cost rank 7 | best-seen +1.74 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
16,task076,0,semantic_rebuild,symmetry/flip/rotate,12.303530,326593.000000,8,52.000000,2.200098,2.800098,0.862990,0.308200,0.730000,0.600000,1.000000,not_run,lb-verified-current-anchor,"cost rank 8 | best-seen +2.20 | graph risk 3 | Open semantic-factory pass: inspect examples, write prototype, then stress-test.","Open semantic-factory pass: inspect examples, write prototype, then stress-test."
17,task066,0,family_dsl,symmetry/flip/rotate,13.489738,99734.000000,42,7.000000,1.538742,2.138742,0.655738,0.306600,0.520000,0.660000,1.000000,not_run,lb-verified-v4-anchor,best-seen +1.54 | Route to family DSL/compiler search; record any exact rule.,Route to family DSL/compiler search; record any exact rule.
