source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label,phase
0,ex0,original,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,color_permutation_a,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,color_permutation_b,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,transpose,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,mirror_lr,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,mirror_ud,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,rotate_180,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,pad_top_left,False,True,"input_shape_exceeds_limit:(31, 31)>(30, 30)","(31, 31)","(31, 31)",,,,leave_one_out
0,ex0,pad_bottom_right,False,True,"input_shape_exceeds_limit:(31, 31)>(30, 30)","(31, 31)","(31, 31)",,,,leave_one_out
0,ex0,translate_down_right,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,translate_up_left,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,inert_2x2_distractor,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex0,inert_singleton_distractor,True,False,ok,"(30, 30)","(30, 30)","(30, 30)",0,visible_loo_0,leave_one_out
0,ex1,original,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,color_permutation_a,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,color_permutation_b,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,transpose,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,mirror_lr,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,mirror_ud,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,rotate_180,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,pad_top_left,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,visible_loo_1,leave_one_out
0,ex1,pad_bottom_right,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,visible_loo_1,leave_one_out
0,ex1,translate_down_right,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,translate_up_left,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,inert_2x2_distractor,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex1,inert_singleton_distractor,True,False,ok,"(20, 20)","(20, 20)","(20, 20)",0,visible_loo_1,leave_one_out
0,ex2,original,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,color_permutation_a,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,color_permutation_b,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,transpose,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,mirror_lr,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,mirror_ud,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,rotate_180,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,pad_top_left,True,False,ok,"(15, 15)","(15, 15)","(15, 15)",0,visible_loo_2,leave_one_out
0,ex2,pad_bottom_right,True,False,ok,"(15, 15)","(15, 15)","(15, 15)",0,visible_loo_2,leave_one_out
0,ex2,translate_down_right,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,translate_up_left,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,inert_2x2_distractor,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex2,inert_singleton_distractor,True,False,ok,"(14, 14)","(14, 14)","(14, 14)",0,visible_loo_2,leave_one_out
0,ex3,original,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,color_permutation_a,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,color_permutation_b,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,transpose,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,mirror_lr,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,mirror_ud,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,rotate_180,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,pad_top_left,True,False,ok,"(25, 25)","(25, 25)","(25, 25)",0,visible_loo_3,leave_one_out
0,ex3,pad_bottom_right,True,False,ok,"(25, 25)","(25, 25)","(25, 25)",0,visible_loo_3,leave_one_out
0,ex3,translate_down_right,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,translate_up_left,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,inert_2x2_distractor,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
0,ex3,inert_singleton_distractor,True,False,ok,"(24, 24)","(24, 24)","(24, 24)",0,visible_loo_3,leave_one_out
