task_id,status,kept,safe_initializer_count,candidate_param_save,original_cost,candidate_cost,cost_delta,original_score,candidate_score,score_delta,exact_train,exact_test,exact_arc_gen,exact_total,changed_initializers,consumer_positions,source_path,kept_path,error
17,kept,True,1,440,35149,34709,440,14.5326485527,14.5452457017,0.0125971490323,3,1,262,266,zero_label21,zero_label21=[Where:2],submissions/candidate_v4_plus8_task149_bool_onnx/task017.onnx,submissions/uniform_scalar_v1_onnx/task017.onnx,
26,kept,True,1,14,738,724,14,18.3960561754,18.4152086076,0.0191524322148,5,1,262,268,hc_one,"hc_one=[Sub:0,Sub:0,Sub:0,Sub:0]",submissions/candidate_v4_plus8_task149_bool_onnx/task026.onnx,submissions/uniform_scalar_v1_onnx/task026.onnx,
36,kept,True,2,18,79962,79944,18,13.7106931992,13.7109183315,0.000225132266158,2,1,262,265,twenty_nine_10;one_10,"twenty_nine_10=[Sub:0,Sub:0];one_10=[Add:1,Add:1]",submissions/candidate_v4_plus8_task149_bool_onnx/task036.onnx,submissions/uniform_scalar_v1_onnx/task036.onnx,
51,kept,True,1,8,68437,68429,8,13.866331107,13.8664480096,0.000116902664052,3,1,261,265,one_count,one_count=[Equal:1],submissions/candidate_v4_plus8_task149_bool_onnx/task051.onnx,submissions/uniform_scalar_v1_onnx/task051.onnx,
58,kept,True,1,19,16105,16086,19,15.3131149382,15.3142953925,0.00118045430128,5,1,16,22,zero_col_b,zero_col_b=[And:1],submissions/candidate_v4_plus8_task149_bool_onnx/task058.onnx,submissions/uniform_scalar_v1_onnx/task058.onnx,
65,kept,True,1,14,34777,34763,14,14.5432884723,14.5436911182,0.000402645964598,3,1,262,266,v1,"v1=[Where:2,Where:2]",submissions/candidate_v4_plus8_task149_bool_onnx/task065.onnx,submissions/uniform_scalar_v1_onnx/task065.onnx,
76,kept,True,2,448,327041,326593,448,12.3021591757,12.3035299737,0.00137079793937,3,1,262,266,norm_r30_expanded_1;zero_ch_expanded_1,"norm_r30_expanded_1=[Mul:1,Mul:1,Mul:1];zero_ch_expanded_1=[Mul:1]",submissions/candidate_v4_plus8_task149_bool_onnx/task076.onnx,submissions/uniform_scalar_v1_onnx/task076.onnx,
77,kept,True,1,419,157913,157494,419,13.0302004726,13.0328573587,0.00265688615965,3,1,262,266,v18,v18=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task077.onnx,submissions/uniform_scalar_v1_onnx/task077.onnx,
96,kept,True,2,378,185008,184630,378,12.8718456536,12.8738908986,0.00204524497896,3,1,262,266,/Constant_15_output_0;/Constant_16_output_0,"/Constant_15_output_0=[Where:2,Where:2];/Constant_16_output_0=[Where:2,Where:2]",submissions/candidate_v4_plus8_task149_bool_onnx/task096.onnx,submissions/uniform_scalar_v1_onnx/task096.onnx,
109,kept,True,1,29,94651,94622,29,13.5420482782,13.5423547139,0.000306435679965,3,1,262,266,twenty_nine_30,twenty_nine_30=[Where:1],submissions/candidate_v4_plus8_task149_bool_onnx/task109.onnx,submissions/uniform_scalar_v1_onnx/task109.onnx,
110,kept,True,1,840,108697,107857,840,13.4036805262,13.4114384453,0.00775791916074,3,1,262,266,zero_label29,zero_label29=[Where:2],submissions/candidate_v4_plus8_task149_bool_onnx/task110.onnx,submissions/uniform_scalar_v1_onnx/task110.onnx,
114,kept,True,2,4,1254,1250,4,17.8659062788,17.8691011697,0.00319489089652,3,1,262,266,Constant_9_output;Constant_12_output,Constant_9_output=[Equal:1];Constant_12_output=[Equal:1],submissions/candidate_v4_plus8_task149_bool_onnx/task114.onnx,submissions/uniform_scalar_v1_onnx/task114.onnx,
115,kept,True,1,3,4122,4119,3,16.6759062385,16.6766343056,0.000728067014325,3,1,262,266,Constant_17_output,Constant_17_output=[Where:2],submissions/candidate_v4_plus8_task149_bool_onnx/task115.onnx,submissions/uniform_scalar_v1_onnx/task115.onnx,
117,kept,True,3,462,18146,17684,462,15.1937945703,15.2195844451,0.0257898747834,3,1,261,265,Constant_6_output;Constant_31_output;Constant_32_output,"Constant_6_output=[Where:2,Where:2];Constant_31_output=[Where:2,Where:2];Constant_32_output=[Where:2,Where:2,Where:2]",submissions/candidate_v4_plus8_task149_bool_onnx/task117.onnx,submissions/uniform_scalar_v1_onnx/task117.onnx,
128,kept,True,2,18,95042,95024,18,13.5379258219,13.5381152297,0.000189407890456,3,1,262,266,twenty_nine_10;one_10,twenty_nine_10=[Sub:0];one_10=[Add:1],submissions/candidate_v4_plus8_task149_bool_onnx/task128.onnx,submissions/uniform_scalar_v1_onnx/task128.onnx,
134,kept,True,1,8,12388,12380,8,15.5755164589,15.5761624538,0.000645994854507,3,1,262,266,ones_3x3,ones_3x3=[Sub:0],submissions/candidate_v4_plus8_task149_bool_onnx/task134.onnx,submissions/uniform_scalar_v1_onnx/task134.onnx,
144,kept,True,1,15,786,771,15,18.3330432076,18.3523116264,0.0192684188659,4,1,262,267,hc_one,"hc_one=[Sub:0,Sub:0,Sub:0,Sub:0]",submissions/candidate_v4_plus8_task149_bool_onnx/task144.onnx,submissions/uniform_scalar_v1_onnx/task144.onnx,
156,kept,True,1,99,26350,26251,99,14.820776446,14.8245406375,0.00376419143725,2,1,262,265,larger_area_49_10_b,larger_area_49_10_b=[And:1],submissions/candidate_v4_plus8_task149_bool_onnx/task156.onnx,submissions/uniform_scalar_v1_onnx/task156.onnx,
178,kept,True,4,52,29331,29279,52,14.7135997438,14.7153741855,0.00177444168722,5,1,262,268,v19;v22;v25;v28,"v19=[Sub:1,Sub:1];v22=[Sub:1,Sub:1];v25=[Sub:1,Sub:1];v28=[Sub:1,Sub:1]",submissions/candidate_v4_plus8_task149_bool_onnx/task178.onnx,submissions/uniform_scalar_v1_onnx/task178.onnx,
206,kept,True,1,1,61387,61386,1,13.9750466347,13.9750629249,1.62902266787e-05,3,1,262,266,slice_len,slice_len=[Add:1],submissions/candidate_v4_plus8_task149_bool_onnx/task206.onnx,submissions/uniform_scalar_v1_onnx/task206.onnx,
219,kept,True,1,149,82452,82303,149,13.6800284152,13.681837162,0.00180874681341,3,1,261,265,k_79,k_79=[Max:0],submissions/candidate_v4_plus8_task149_bool_onnx/task219.onnx,submissions/uniform_scalar_v1_onnx/task219.onnx,
