task_id,status,kept,safe_initializer_count,candidate_param_save,original_cost,candidate_cost,cost_delta,original_score,candidate_score,score_delta,exact_train,exact_test,exact_arc_gen,exact_total,changed_initializers,consumer_positions,source_path,kept_path,error
1,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task001.onnx,submissions/uniform_scalar_v1_onnx/task001.onnx,
2,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task002.onnx,submissions/uniform_scalar_v1_onnx/task002.onnx,
3,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task003.onnx,submissions/uniform_scalar_v1_onnx/task003.onnx,
4,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task004.onnx,submissions/uniform_scalar_v1_onnx/task004.onnx,
5,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task005.onnx,submissions/uniform_scalar_v1_onnx/task005.onnx,
6,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task006.onnx,submissions/uniform_scalar_v1_onnx/task006.onnx,
7,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task007.onnx,submissions/uniform_scalar_v1_onnx/task007.onnx,
8,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task008.onnx,submissions/uniform_scalar_v1_onnx/task008.onnx,
9,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task009.onnx,submissions/uniform_scalar_v1_onnx/task009.onnx,
10,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task010.onnx,submissions/uniform_scalar_v1_onnx/task010.onnx,
11,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task011.onnx,submissions/uniform_scalar_v1_onnx/task011.onnx,
12,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task012.onnx,submissions/uniform_scalar_v1_onnx/task012.onnx,
13,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task013.onnx,submissions/uniform_scalar_v1_onnx/task013.onnx,
14,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task014.onnx,submissions/uniform_scalar_v1_onnx/task014.onnx,
15,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task015.onnx,submissions/uniform_scalar_v1_onnx/task015.onnx,
16,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task016.onnx,submissions/uniform_scalar_v1_onnx/task016.onnx,
17,kept,True,1,440,35149,34709,440,14.5326485527,14.5452457017,0.0125971490323,3,1,262,266,zero_label21,zero_label21=[Where:2],submissions/candidate_v4_plus8_task149_bool_onnx/task017.onnx,submissions/uniform_scalar_v1_onnx/task017.onnx,
18,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task018.onnx,submissions/uniform_scalar_v1_onnx/task018.onnx,
19,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task019.onnx,submissions/uniform_scalar_v1_onnx/task019.onnx,
20,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task020.onnx,submissions/uniform_scalar_v1_onnx/task020.onnx,
21,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task021.onnx,submissions/uniform_scalar_v1_onnx/task021.onnx,
22,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task022.onnx,submissions/uniform_scalar_v1_onnx/task022.onnx,
23,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task023.onnx,submissions/uniform_scalar_v1_onnx/task023.onnx,
24,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task024.onnx,submissions/uniform_scalar_v1_onnx/task024.onnx,
25,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task025.onnx,submissions/uniform_scalar_v1_onnx/task025.onnx,
26,kept,True,1,14,738,724,14,18.3960561754,18.4152086076,0.0191524322148,5,1,262,268,hc_one,"hc_one=[Sub:0,Sub:0,Sub:0,Sub:0]",submissions/candidate_v4_plus8_task149_bool_onnx/task026.onnx,submissions/uniform_scalar_v1_onnx/task026.onnx,
27,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task027.onnx,submissions/uniform_scalar_v1_onnx/task027.onnx,
28,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task028.onnx,submissions/uniform_scalar_v1_onnx/task028.onnx,
29,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task029.onnx,submissions/uniform_scalar_v1_onnx/task029.onnx,
30,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task030.onnx,submissions/uniform_scalar_v1_onnx/task030.onnx,
31,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task031.onnx,submissions/uniform_scalar_v1_onnx/task031.onnx,
32,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task032.onnx,submissions/uniform_scalar_v1_onnx/task032.onnx,
33,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task033.onnx,submissions/uniform_scalar_v1_onnx/task033.onnx,
34,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task034.onnx,submissions/uniform_scalar_v1_onnx/task034.onnx,
35,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task035.onnx,submissions/uniform_scalar_v1_onnx/task035.onnx,
36,kept,True,2,18,79962,79944,18,13.7106931992,13.7109183315,0.000225132266158,2,1,262,265,twenty_nine_10;one_10,"twenty_nine_10=[Sub:0,Sub:0];one_10=[Add:1,Add:1]",submissions/candidate_v4_plus8_task149_bool_onnx/task036.onnx,submissions/uniform_scalar_v1_onnx/task036.onnx,
37,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task037.onnx,submissions/uniform_scalar_v1_onnx/task037.onnx,
38,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task038.onnx,submissions/uniform_scalar_v1_onnx/task038.onnx,
39,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task039.onnx,submissions/uniform_scalar_v1_onnx/task039.onnx,
40,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task040.onnx,submissions/uniform_scalar_v1_onnx/task040.onnx,
41,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task041.onnx,submissions/uniform_scalar_v1_onnx/task041.onnx,
42,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task042.onnx,submissions/uniform_scalar_v1_onnx/task042.onnx,
43,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task043.onnx,submissions/uniform_scalar_v1_onnx/task043.onnx,
44,no_safe_uniform_initializer,False,0,0,,,,,,,,,,,,,submissions/candidate_v4_plus8_task149_bool_onnx/task044.onnx,submissions/uniform_scalar_v1_onnx/task044.onnx,
